Name,Display Name,Description,Type,Base Price,Prime Part Number,Overtime Type,Item Owner,Prime Item ID,Script Last Run - Assembly
MACSII |,Sales Assistance,Sales Assistance ,Inventory Item,,MACSII,,PIC,35990,
SALES -  FS Engineering HV Substation - Design,,,Service,0.00,,,,,
SALES - Accommodation - Project,,,Non-inventory Item,,,,,,
SALES - Accounting & Legal - Project,,,Non-inventory Item,,,,,,
SALES - Auto - Vehicle - Project,,,Non-inventory Item,,,,,,
SALES - BC HYDRO OUTAGE,,,Service,0.00,,,,,
SALES - BCH Outage,,,Non-inventory Item,,,,PIC,,
SALES - CE - Design,,,Service,0.00,,,,,
SALES - CE - Design & Supply,,,Service,0.00,,,,,
SALES - CE - Trouble Calls,,,Service,0.00,,,,,
SALES - CHRG-003 |,UPS CHARGER CIRCUIT - 3 A,UPS CHARGER CIRCUIT - 3 A,Inventory Item,,SALES - CHRG-003,,PIC,35379,
SALES - CHRG-005 |,UPS CHARGER CIRCUIT - 5 A,UPS CHARGER CIRCUIT - 3 A,Inventory Item,,SALES - CHRG-005,,PIC,35380,
SALES - CHRG-010 |,UPS CHARGER CIRCUIT - 10 A,UPS CHARGER CIRCUIT - 3 A,Inventory Item,,SALES - CHRG-010,,PIC,35381,
SALES - CHRG-020 |,UPS CHARGER CIRCUIT - 20 A,UPS CHARGER CIRCUIT - 3 A,Inventory Item,,SALES - CHRG-020,,PIC,35382,
SALES - Computer Software - Project,,,Non-inventory Item,,,,,,
SALES - Entertainment - Project,,,Non-inventory Item,,,,,,
SALES - Equipment Rental & Lease - Project,,,Non-inventory Item,,,,,,
SALES - Ferry - Project,,,Non-inventory Item,,,,,,
SALES - Field Service - Cable Testing,,,Service,0.00,,,,,
SALES - Field Service - IR Scanning,,,Service,0.00,,,,,
SALES - Field Service - Load Survey,,,Service,0.00,,,,,
SALES - Field Service - PD Testing,,,Service,0.00,,,,,
SALES - Field Service - Trouble Call,,,Service,0.00,,,,,
SALES - Field Service - Z32,,,Service,0.00,,,,,
SALES - Field Service Commissioning - HV,,,Service,0.00,,,,,
SALES - Field Service Commissioning - LV,,,Service,0.00,,,,,
SALES - Field Service Commissioning - MV,,,Service,0.00,,,,,
SALES - Field Service Generic,,,Service,0.00,,,,,
SALES - Field Service Maintenance - HV,,,Service,0.00,,,,,
SALES - Field Service Maintenance - LV,,,Service,0.00,,,,,
SALES - Field Service Maintenance - MV,,,Service,0.00,,,,,
SALES - Field Service Retrofit - HV,,,Service,0.00,,,,,
SALES - Field Service Retrofit - LV,,,Service,0.00,,,,,
SALES - Field Service Retrofit - MV,,,Service,0.00,,,,,
SALES - Flights - Project,,,Non-inventory Item,,,,,,
SALES - Freight - Project,,,Non-inventory Item,,,,,,
SALES - FREIGHT - PTI TO PRIME,SALES - FREIGHT - PTI TO PRIME,SALES - FREIGHT - PTI TO PRIME,Non-inventory Item,,,,,,
SALES - Freight Insurance - Project,,,Non-inventory Item,,,,,,
SALES - FS Engineering - Energy,,,Service,0.00,,,,,
SALES - FS Engineering - Energy T&M,,,Service,0.00,,,,,
SALES - FS Engineering HV Substation - Design & Supply,,,Service,0.00,,,,,
SALES - FS Engineering Protection and Control - Retrofit,,,Service,0.00,,,,,
SALES - Fuel - Project,,,Non-inventory Item,,,,,,
SALES - Insurance - Project,,,Non-inventory Item,,,,,,
SALES - Kilometers  - Project,,,Non-inventory Item,,,,,,
SALES - Meals - Project - Day Rate,,,Non-inventory Item,,,,,,
SALES - Parking - Project,,,Non-inventory Item,,,,,,
SALES - PSS - BCH Pri. Service COORD,,,Service,0.00,,,,,
"SALES - PSS - COORD, SC, AF",,,Service,0.00,,,,,
SALES - PSS - Ground Grid Analysis,,,Service,0.00,,,,,
SALES - PSS - Ground Grid Design,,,Service,0.00,,,,,
SALES - PST Self Assessed - Projects,PST cost on project materials,,Non-inventory Item,,,,PIC,,
SALES - Repairs & Maintenance - Equipment - Project,,,Non-inventory Item,,,,,,
SALES - Safety Supplies - Project,,,Non-inventory Item,,,,,,
SALES - Shop Supplies - Overhead,Shop Supplies,Shop Supplies,Non-inventory Item,,,,,,
SALES - Subcontractors & 3rd Party Services - Project,Subcontractors & 3rd Party Services - Project,Subcontractors & 3rd Party Services - Project,Non-inventory Item,,,,,,
SALES - Switchgear - Custom,,,Service,0.00,,,,,
SALES - Switchgear - GRIDX,,,Service,0.00,,,,,
SALES - Switchgear - MVAIR,,,Service,0.00,,,,,
SALES - Switchgear - PoWER,,,Service,0.00,,,,,
Sales - T&D Commission,,T&D Commission ,Non-inventory Item,,,,,,
SALES - Training - Project,,,Non-inventory Item,,,,,,
SALES - Unit Substations - Custom,,,Service,0.00,,,,,
SALES - Unit Substations - FlexSub,,,Service,0.00,,,,,
SALES - Warranty,,,Service,0.00,,,,,
