Name,Email,Phone,Office Phone,Fax,Start Date,Alt. Email,Labor Cost (ATTB)
Field Service Retrofit,,,,,11/5/2021,,
Fixed Bid Milestone - 4 Billing Milestones,,,,,5/3/2021,,
FSE Invoicing,,,,,10/1/2021,,
Invoice 100% Fixed Amount Template,,,,,5/3/2021,,
Prime Engineering Field Services T&M,,,,,1/24/2021,,
Prime Engineering Fix Bid Milestone- Long Term,,,,,1/24/2021,,
Project template for monthly T&M,,,,,2/1/2021,,
Projects and Power Distribution (DNU- old),,,,,,,
T&M Project Template,,,,,4/29/2021,,
Wesco Burnaby - 3 Invoice Milestones,,,,,10/1/2021,,
